CountryName,CountryCode,Series Name,Series Code,Y2010,Y2011,Y2012,Y2013,Y2014
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,26425379437,28840263380,30937277606,33593843662,35826925775
West Bank and Gaza,WBG,GDP (current US$),NY.GDP.MKTP.CD,8913100000,10465400000,11279400010,12475999993,12737613125
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,11273248976,12411220518,13020182473,12932205891,13429503285
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,0,0,74690930782,58652241646,64330038665
Romania,ROM,GDP (current US$),NY.GDP.MKTP.CD,1.65E+11,1.83E+11,1.69E+11,1.90E+11,1.99E+11
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1.50E+13,1.55E+13,1.62E+13,1.68E+13,1.74E+13
Virgin Islands (U.S.),VIR,GDP (current US$),NY.GDP.MKTP.CD,0,0,0,0,0
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,0,0,0,0,0
Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,7181441152,8283218734,9359185244,11189514292,11771725798
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,39999659234,41953433591,50410164014,54930813988,60936509778
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,2.48E+11,2.74E+11,2.57E+11,2.68E+11,2.71E+11
Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,65634083050,67326793943,62689620777,66480692535,73815376185
Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,4368371528,4423194614,5013030303,5298787879,0
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,2.41E+12,2.59E+12,2.61E+12,2.68E+12,2.94E+12
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,8.36E+11,8.94E+11,8.23E+11,8.54E+11,8.70E+11
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,10119169260,13197133578,14934374229,15457196860,16385584919
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,2187417432,2523356489,2384023630,2147680335,2088021624
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,2.00E+11,2.24E+11,2.50E+11,2.72E+11,2.85E+11
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,21418300000,23139000000,23813600000,24259100000,25220000000
Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,656789149.6,762098813.4,804335819.9,795947899.1,800586671.2
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,2.38E+11,2.45E+11,2.16E+11,2.25E+11,2.30E+11
Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,7189482030,10409797336,12292770631,12545217934,12015944337
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1.43E+12,1.49E+12,1.36E+12,1.39E+12,1.40E+12
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,6561782313,7289779658,7543183759,8307221458,8746992733
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,20265552104,23731726500,24939314029,26820806279,27066230009
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,11564374628,15711269412,16485813032,15580315664,14308094225
Vietnam,VNM,GDP (current US$),NY.GDP.MKTP.CD,1.16E+11,1.36E+11,1.56E+11,1.71E+11,1.86E+11
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,52902703376,65951627200,68730906314,73560484385,75198010965
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,15936800636,17930239400,20536542737,20310881087,20841951232
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1.61E+11,1.99E+11,2.04E+11,2.10E+11,2.14E+11
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,11926957255,12890866743,12344529628,12916669736,13370191506
Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,0,0,0,0,0
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,2.86E+11,3.47E+11,3.72E+11,4.02E+11,4.02E+11
Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,58641352406,67937581274,76341482445,78182574772,81796618986
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,4.63E+11,5.60E+11,6.08E+11,6.22E+11,5.40E+11
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2467703911,2584463687,0,0,0
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,2332466301,2460699388,2534540871,2705145309,3032239478
Isle of Man,IMY,GDP (current US$),NY.GDP.MKTP.CD,0,0,0,0,0
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,5398615401,5627896279,4240491999,3883521175,4258033615
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,2.48E+11,2.89E+11,3.05E+11,3.13E+11,3.27E+11
Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,163917000,172956700,184358700,190914600,0
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,8163355021,9302635890,8882509104,9642848650,0
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,8729936136,9892702358,9919780222,10613473993,10593147527
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,9422267260,10647545670,10340794110,11111650036,12074473002
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,38009950249,40078938640,43205095854,44352418120,45730945274
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,4111066225,4495496247,4045813953,4417255709,4583198885
